"Source","Target","Weight"
"banco-de-fomento-sarl-angola","habib-bank-a-g-zurich-dubai-uae-are",678497.5
"banco-de-fomento-sarl-angola","marfin-popular-bank-public-co-ltd-limassol-cyprus-cyp",5766.5
"banco-de-oro-unibank-inc","bank-international-indonesia-indonesia-idn",83545.66
"banco-de-oro-unibank-inc","bank-international-indonesia-jakarta-indonesia-idn",147619.62
"banco-de-oro-unibank-inc","bank-of-china-beijing-china-chn",1626373.6
"banco-de-oro-unibank-inc","china-merchants-bank-offshore-shenzhen-china-chn",80453.4
"banco-de-oro-unibank-inc","citibank-na-singapore-sgp",126321.7
"banco-de-oro-unibank-inc","citibank-taiwan-ltd-taipei-taiwan-twn",143934.4
"banco-de-oro-unibank-inc","dbs-bank-hong-kong-limited-hong-kong-hkg",140722.35
"banco-de-oro-unibank-inc","deutsche-bank-ag-hong-kong-hkg",1048277.31
"banco-de-oro-unibank-inc","deutsche-bank-trust-co-americas-new-york-ny-usa",560851.19
"banco-de-oro-unibank-inc","hang-seng-bank-ltd-hong-kong-hkg",328135.43
"banco-de-oro-unibank-inc","hong-kong-and-shanghai-banking-corp-hong-kong-hkg",2385667.11
"banco-de-oro-unibank-inc","hongkong-and-shanghai-banking-corp-ho-chi-minh-city-vietnam-vnm",2444710
"banco-de-oro-unibank-inc","intesa-sanpaolo-spa-hong-kong-hkg",1064072.5
"banco-de-oro-unibank-inc","oversea-chinese-banking-corp-ltd-singapore-sgp",5595578.91
"banco-de-oro-unibank-inc","state-bank-of-india-new-dehli-india-ind",4435986.77
"banco-de-oro-unibank-inc","the-hongkong-shanghai-bnking-corp-singapore-sgp",155399.1
"banco-de-oro-unibank-inc","united-overseas-bank-limited-singapore-sgp",1842383.71
"banco-de-oro-unibank-inc","wirecard-bank-ag-grasbrunn-germany-deu",74975
"banco-de-sabadell-sa","wirecard-bank-ag-aschheim-germany-deu",750125.76
"banco-de-santander-sa","caledonian-bank-limited-georgetown-cayman-islands-cym",2e+05
"banco-del-bajio-sa-institucion","deutsche-bank-ag-hamburg-germany-deu",1475000
"banco-espirito-santo-salisbon-portugal-prt","hellenic-bank-ltd-nicosia-cyprus-cyp",1500000
"banco-general-s-a","credicorp-bank-panama-pan",459000
"banco-itau","dms-bank-trust-ltd-cayman-islands-cym",4399640
"banco-itau-international","bank-of-china-macau-mac",255027.75
"banco-itau-sa","kbl-european-private-bankers-sa-luxembourg-luxembourg-lux",14507000
"banco-mercantil-delnorte","bancaire-privee-switzerland-che",60000
"banco-nacional-de-mexico-sa","nordea-bank-ab-stockholm-sweden-swe",310435.89
